macModule,rssi,hourMinute
C45BBE39F56A,-80,9h32
C45BBE386362,-74,9h32
C45BBE386952,-79,9h32
C45BBE386362,-67,9h32
C45BBE39F56A,-77,9h32
C45BBE384CD2,-68,9h32
C45BBE386952,-78,9h32
C45BBE39F56A,-67,9h32
C45BBE384CD2,-73,9h32
C45BBE386362,-68,9h32
C45BBE384CD2,-65,9h32
C45BBE386952,-77,9h33
C45BBE39F56A,-73,9h33
C45BBE386362,-66,9h33
C45BBE386952,-74,9h33
C45BBE39F56A,-72,9h33
C45BBE384CD2,-66,9h33
C45BBE386362,-69,9h33
C45BBE39F56A,-78,9h33
C45BBE384CD2,-58,9h33
C45BBE386362,-72,9h33
C45BBE384CD2,-62,9h33
C45BBE39F56A,-79,9h33
C45BBE386952,-74,9h33
C45BBE39F56A,-77,9h33
C45BBE384CD2,-52,9h33
C45BBE386362,-79,9h33
C45BBE39F56A,-80,9h33
C45BBE384CD2,-54,9h33
C45BBE386362,-76,9h33
C45BBE39F56A,-77,9h34
C45BBE384CD2,-59,9h34
C45BBE386362,-79,9h34
C45BBE39F56A,-72,9h34
C45BBE384CD2,-76,9h34
C45BBE386952,-74,9h34
C45BBE39F56A,-63,9h34
C45BBE384CD2,-69,9h34
C45BBE386362,-68,9h34
C45BBE39F56A,-71,9h34
C45BBE386362,-72,9h34
